model,best_threshold,best_j,best_tpr,best_fpr,best_specificity
ALL,0.5323518907211925,0.8425567145542716,0.8499937497395725,0.0074370351853009185,0.9925629648146991
HbA1c-only,0.8500730476414892,0.8511187966165257,0.8511187966165257,0.0,1.0
non-HbA1c,0.6337195768498706,0.23184220701610958,0.5242926788616192,0.29245047184550965,0.7075495281544903
