model,converged,min,p01,median,p99,max,pct_lt_0.01,pct_gt_0.99
ALL,True,0.00012884821284918582,0.0024481558925739323,0.7048980289806925,0.9996639013584716,0.9999979299410154,0.0327875,0.110225
HbA1c,True,0.0002603955764586469,0.0026416857100686067,0.7067006642397361,0.9995758502177128,0.9999971440684761,0.031075,0.1044125
non-HbA1c,True,0.13015355904816844,0.3145621687135747,0.5884905007220695,0.8849327311772771,0.9519352385621439,0.0,0.0
