model,best_threshold,best_j,best_tpr,best_fpr,best_specificity
ALL,0.6773469979335563,0.81452643516418,0.8424934372265511,0.027967002062371103,0.9720329979376289
HbA1c,0.6914556930433753,0.8511187966165257,0.8511187966165257,0.0,1.0
non-HbA1c,0.610275816507647,0.23090535804177353,0.5299804158506605,0.29907505780888693,0.700924942191113
