model,min,p01,median,p99,max,pct_lt_0.01,pct_gt_0.99
ALL,0.04250752925872803,0.08073070228099823,0.9998743534088135,0.9999488592147827,0.9999760389328003,0.0,0.51065
HbA1c-only,0.0890941321849823,0.13548219203948975,0.9999707937240601,0.9999707937240601,0.9999707937240601,0.0,0.51065
non-HbA1c,0.18054719269275665,0.3177003499865532,0.5892373025417328,0.8959419292211529,0.963503897190094,0.0,0.0
